Date,Open,High,Low,Close,Adj Close,Volume
2020-09-10,101.400002,102.41999799999999,99.639999,99.83000200000001,97.629906,15922800
2020-09-11,99.970001,101.360001,99.589996,101.07,98.84258299999999,13784300
2020-09-14,101.510002,103.459999,101.370003,102.470001,100.211731,19017400
2020-09-15,102.730003,102.849998,99.139999,99.279999,97.092026,23683000
2020-09-16,99.43,101.129997,98.760002,99.699997,97.502769,19270600
2020-09-17,98.699997,99.339996,97.709999,98.559998,96.38789399999999,18290100
2020-09-18,97.889999,99.489998,97.440002,98.349998,96.182526,20121600
2020-09-21,95.199997,96.050003,93.82,95.309998,93.209518,28378800
2020-09-22,94.959999,95.660004,93.66999799999999,94.269997,92.192444,19257000
2020-09-23,94.779999,95.349998,92.660004,92.739998,90.696159,19952700
2020-09-24,92.32,94.300003,91.379997,92.660004,90.61792,18366500
2020-09-25,92.050003,93.720001,91.870003,93.470001,91.410072,13293100
2020-09-28,95.059998,96.93,94.349998,96.160004,94.040787,20894100
2020-09-29,96.029999,96.029999,94.33000200000001,95.349998,93.248634,12848200
2020-09-30,95.349998,97.199997,95.260002,96.269997,94.148361,16400600
2020-10-01,97.120003,97.769997,96.029999,96.970001,94.832939,15778700
2020-10-02,95.25,98.589996,95.089996,97.889999,95.732658,15149600
2020-10-05,98.32,99.25,97.529999,99.040001,97.756088,13871900
2020-10-06,100.07,100.860001,97.510002,98.019997,96.749306,19220400
2020-10-07,98.959999,100.349998,98.66999799999999,99.730003,98.437149,16358500
2020-10-08,100.510002,101.91999799999999,99.900002,101.779999,100.460564,15659000
2020-10-09,102.0,102.110001,100.110001,101.199997,99.88808399999999,13689100
2020-10-12,101.099998,103.0,100.849998,102.440002,101.112015,16058000
2020-10-13,103.0,103.220001,100.260002,100.779999,99.473526,21697300
2020-10-14,101.029999,101.93,100.099998,100.220001,98.920792,15214900
2020-10-15,99.099998,101.779999,99.040001,101.720001,100.401344,17171200
2020-10-16,101.410004,102.33000200000001,100.720001,101.510002,100.194069,13275000
2020-10-19,101.599998,101.870003,99.559998,99.800003,98.506241,11725700
2020-10-20,100.309998,101.769997,100.120003,100.370003,99.068855,11257100
2020-10-21,100.360001,100.989998,99.33000200000001,99.370003,98.08181,10730500
2020-10-22,99.32,103.239998,99.309998,102.879997,101.54630300000001,14837200
2020-10-23,103.5,104.449997,102.93,103.809998,102.464249,15087600
2020-10-26,102.650002,102.699997,100.25,101.239998,99.92756700000001,12410700
2020-10-27,100.510002,100.91999799999999,99.160004,99.33000200000001,98.042328,10391700
2020-10-28,97.5,98.300003,96.07,96.540001,95.288498,16389500
2020-10-29,96.120003,97.980003,95.239998,97.16999799999999,95.910332,14208800
2020-10-30,97.910004,98.41999799999999,96.230003,98.040001,96.769051,15194500
2020-11-02,99.389999,100.879997,97.860001,100.25,98.950401,15011600
2020-11-03,103.019997,104.739998,102.690002,103.410004,102.069443,17482600
2020-11-04,101.0,102.07,98.93,100.25,98.950401,18886500
2020-11-05,101.059998,105.099998,101.0,104.349998,102.997253,17837400
2020-11-06,105.029999,105.099998,102.389999,102.959999,101.62526700000001,12552800
2020-11-09,113.160004,118.900002,110.349998,116.900002,115.38456000000001,47792400
2020-11-10,117.349998,117.449997,114.690002,116.519997,115.009483,20539300
2020-11-11,116.889999,116.959999,113.959999,114.779999,113.292046,14443400
2020-11-12,112.529999,113.959999,112.059998,113.370003,111.900322,22063000
2020-11-13,114.699997,114.860001,113.57,114.08000200000001,112.60112,11847900
2020-11-16,117.790001,118.610001,115.730003,117.300003,115.77937299999999,19858600
2020-11-17,115.389999,116.440002,114.58000200000001,116.110001,114.60479699999999,14553200
2020-11-18,117.339996,118.610001,115.199997,115.25,113.75594299999999,12571200
2020-11-19,114.18,115.82,113.559998,115.559998,114.06192800000001,10202500
2020-11-20,114.43,115.650002,114.089996,114.57,113.08476999999999,12718900
2020-11-23,116.050003,118.16999799999999,115.57,117.870003,116.34198799999999,13209200
2020-11-24,120.07,123.5,119.709999,123.32,121.721329,20121600
2020-11-25,121.370003,122.379997,120.470001,122.029999,120.448051,11715600
2020-11-27,122.0,122.349998,121.08000200000001,121.220001,119.64856,5983600
2020-11-30,120.0,120.720001,117.769997,117.879997,116.351845,14411800
